trade_date,ts_code,close,hdly_ma
2023/3/3,002142.SZ,30.66,34.47305562
2023/3/10,603392.SH,129.6,441.5019853
2023/3/14,600460.SH,34.59,137.9258646
2023/3/14,002756.SZ,90.15,60.52351531
2023/3/14,300498.SZ,19.45,19.58005999
2023/3/14,603986.SH,105.04,9.324447682
